Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
25.02.2022;10:00;11:00;74.358,75;19.581,5;2.953,25
25.02.2022;11:00;12:00;74.722,25;19.825,5;1.860,5
25.02.2022;12:00;13:00;74.156;20.387,25;3.121,5
25.02.2022;13:00;14:00;72.750,5;21.195,25;2.996,5
25.02.2022;14:00;15:00;71.313,5;24.093,25;2.045,25
25.02.2022;15:00;16:00;70.587,25;27.291,5;1.679,25
25.02.2022;16:00;17:00;69.028,25;32.286,25;581,25
25.02.2022;17:00;18:00;69.207,75;36.778,75;126,25
25.02.2022;18:00;19:00;71.028,75;40.077,5;181,5
25.02.2022;19:00;20:00;69.712,75;39.955,5;82,25
25.02.2022;20:00;21:00;65.504,5;35.745,5;117,75
25.02.2022;21:00;22:00;62.236,25;32.532;324,25
25.02.2022;22:00;23:00;60.222,5;32.989;1.285
25.02.2022;23:00;00:00;56.758,5;30.861,25;2.674,25
26.02.2022;00:00;01:00;54.142,75;29.627,75;3.556,5
26.02.2022;01:00;02:00;51.325,75;29.701,5;3.167,25
26.02.2022;02:00;03:00;49.344;30.512,25;2.387
26.02.2022;03:00;04:00;48.596;32.302,25;882,75
26.02.2022;04:00;05:00;48.847,25;35.173,75;390,5
26.02.2022;05:00;06:00;49.084;37.360;237,25
26.02.2022;06:00;07:00;50.000,25;39.842,75;286,75
26.02.2022;07:00;08:00;52.287,5;43.689,25;85,25
26.02.2022;08:00;09:00;55.506,75;46.306,75;13,25
26.02.2022;09:00;10:00;57.924,5;45.910;33,75
26.02.2022;10:00;11:00;59.285,75;43.047,5;761,75
26.02.2022;11:00;12:00;59.702,5;40.419,75;1.666,75
26.02.2022;12:00;13:00;58.763,25;37.800,5;1.871,5
26.02.2022;13:00;14:00;56.973,5;36.631,25;2.409,5
26.02.2022;14:00;15:00;55.040,5;37.393,5;2.111,5
26.02.2022;15:00;16:00;53.807,5;40.574,25;1.447,5
26.02.2022;16:00;17:00;53.722,5;46.340;801,5
26.02.2022;17:00;18:00;55.888;52.795,75;325,75
26.02.2022;18:00;19:00;59.718,75;56.591,25;37
26.02.2022;19:00;20:00;59.198,75;54.596,75;2,75
26.02.2022;20:00;21:00;56.286,25;50.258,25;30,5
26.02.2022;21:00;22:00;53.910,75;45.995,25;404,25
26.02.2022;22:00;23:00;52.652;42.465;490,25
26.02.2022;23:00;00:00;50.633,75;38.483;1.201,75
27.02.2022;00:00;01:00;48.764,75;35.512,75;2.680
27.02.2022;01:00;02:00;46.946;32.925;2.487,5
27.02.2022;02:00;03:00;46.442;32.332,25;2.691,25
27.02.2022;03:00;04:00;46.046,75;32.674,25;1.743,5
27.02.2022;04:00;05:00;46.105;32.775,75;1.155,5
27.02.2022;05:00;06:00;46.102;32.560,25;1.040,75
27.02.2022;06:00;07:00;45.988,25;31.660;1.211
27.02.2022;07:00;08:00;47.801,75;32.052;1.182
27.02.2022;08:00;09:00;51.410,5;30.546,25;2.222
27.02.2022;09:00;10:00;54.180,5;26.776,5;4.273,75
27.02.2022;10:00;11:00;55.594;22.462,75;5.104
27.02.2022;11:00;12:00;56.529,75;18.527;5.705
27.02.2022;12:00;13:00;55.811;15.373;6.316,5
27.02.2022;13:00;14:00;53.285,75;14.324,5;6.073
27.02.2022;14:00;15:00;51.214;15.854,75;5.301,25
27.02.2022;15:00;16:00;51.039,25;21.353,5;3.208,75
27.02.2022;16:00;17:00;51.599,5;30.274,25;1.490,75
27.02.2022;17:00;18:00;53.761,75;38.520;209,5
27.02.2022;18:00;19:00;58.151;41.677,5;52
27.02.2022;19:00;20:00;58.586;39.038,75;315,25
27.02.2022;20:00;21:00;56.483;35.489,5;805,5
27.02.2022;21:00;22:00;55.074,75;33.844,25;909,5
27.02.2022;22:00;23:00;54.805;34.724,5;938,25
27.02.2022;23:00;00:00;52.275,25;33.180,5;2.478,75
28.02.2022;00:00;01:00;50.111;32.101,75;3.705,25
28.02.2022;01:00;02:00;48.826,5;31.972,5;3.442,25
28.02.2022;02:00;03:00;48.314,25;32.575;2.976,5
28.02.2022;03:00;04:00;48.546,75;34.046;1.937,75
28.02.2022;04:00;05:00;49.996,25;36.373,25;587,75
28.02.2022;05:00;06:00;53.403,5;40.379,75;537,75
28.02.2022;06:00;07:00;60.438,75;47.570,25;364,75
28.02.2022;07:00;08:00;65.270;51.796,75;29,75
28.02.2022;08:00;09:00;68.103,25;49.526,25;6,75
28.02.2022;09:00;10:00;68.629,75;44.968;4,75
28.02.2022;10:00;11:00;68.864,25;40.539,75;446
28.02.2022;11:00;12:00;68.936,75;35.600,5;1.501,25
28.02.2022;12:00;13:00;68.218;31.849;3.701,25
28.02.2022;13:00;14:00;67.327;30.808,5;3.733,25
28.02.2022;14:00;15:00;65.730;31.616,75;2.439,25
28.02.2022;15:00;16:00;65.115,25;36.725,5;1.229,5
28.02.2022;16:00;17:00;64.194;43.232,75;335,75
28.02.2022;17:00;18:00;65.860,75;50.178,75;3,25
28.02.2022;18:00;19:00;69.564,75;51.819;1
28.02.2022;19:00;20:00;70.209,25;48.180,75;45,5
28.02.2022;20:00;21:00;67.278,75;42.704,25;480
28.02.2022;21:00;22:00;64.909,25;39.027,5;2.820
28.02.2022;22:00;23:00;62.251,75;36.576,5;3.456
28.02.2022;23:00;00:00;59.205,25;34.382;4.790,5
01.03.2022;00:00;01:00;56.165,75;32.134;4.128,25
01.03.2022;01:00;02:00;55.029;32.463,25;5.202
01.03.2022;02:00;03:00;54.630,25;33.619,75;5.452,25
01.03.2022;03:00;04:00;54.393;35.761,25;4.246
01.03.2022;04:00;05:00;54.957,5;37.820,5;1.907,75
01.03.2022;05:00;06:00;58.008,75;41.669,25;436,5
01.03.2022;06:00;07:00;64.810,75;48.947,75;137,75
01.03.2022;07:00;08:00;69.181;52.561,5;1
01.03.2022;08:00;09:00;71.390,5;50.159,25;130,75
01.03.2022;09:00;10:00;71.106,75;45.324,75;246,5
01.03.2022;10:00;11:00;71.827,5;41.859,25;2.057,25
01.03.2022;11:00;12:00;71.534,25;39.410;1.722,75
01.03.2022;12:00;13:00;71.130,25;39.013;2.632,5
01.03.2022;13:00;14:00;69.049,25;40.136;2.111,5
01.03.2022;14:00;15:00;67.145,5;43.889,5;988,75
01.03.2022;15:00;16:00;65.532,25;49.518;636,5
01.03.2022;16:00;17:00;65.024,5;56.733,5;531,5
01.03.2022;17:00;18:00;66.358;63.262;119
01.03.2022;18:00;19:00;69.697;67.047;8,5
01.03.2022;19:00;20:00;69.149,25;65.779,5;2,75
01.03.2022;20:00;21:00;65.412,5;61.508,25;11
01.03.2022;21:00;22:00;62.081;58.016,5;15,5
01.03.2022;22:00;23:00;59.416,25;55.999,75;125,5
01.03.2022;23:00;00:00;56.029,5;53.001,5;671,75
02.03.2022;00:00;01:00;53.571,5;50.970,5;1.800
02.03.2022;01:00;02:00;51.833,5;49.393;3.778,25
02.03.2022;02:00;03:00;51.579,75;49.079,5;4.299,25
02.03.2022;03:00;04:00;52.023,25;49.160,25;4.830
02.03.2022;04:00;05:00;53.178,5;50.177;4.404,75
02.03.2022;05:00;06:00;56.577,75;53.335,25;2.003,5
02.03.2022;06:00;07:00;62.695,75;59.269,25;209,5
02.03.2022;07:00;08:00;67.285;62.439;7,75
02.03.2022;08:00;09:00;69.719,5;60.822;4,25
02.03.2022;09:00;10:00;70.046;55.825,75;62,75
02.03.2022;10:00;11:00;70.347;51.399,75;49,25
02.03.2022;11:00;12:00;70.833,75;48.277,5;390
02.03.2022;12:00;13:00;70.406,5;46.738,75;1.224,75
02.03.2022;13:00;14:00;69.415,75;47.124,25;1.682,25
02.03.2022;14:00;15:00;67.466,25;48.044,25;1.852
02.03.2022;15:00;16:00;66.030,5;51.294,5;1.268,5
02.03.2022;16:00;17:00;65.138;56.422,5;722
02.03.2022;17:00;18:00;66.870,25;63.089,25;477,25
02.03.2022;18:00;19:00;70.067,25;66.601;12,75
02.03.2022;19:00;20:00;69.870,25;65.466,75;7,5
02.03.2022;20:00;21:00;66.362;61.278,25;174,5
02.03.2022;21:00;22:00;62.837;57.862,5;225,5
02.03.2022;22:00;23:00;59.741;55.289,5;343,5
02.03.2022;23:00;00:00;56.405;52.223,25;314,25
03.03.2022;00:00;01:00;53.545,5;49.754,75;691,75
03.03.2022;01:00;02:00;51.956,25;48.647;1.812
03.03.2022;02:00;03:00;51.614;48.563;3.167,5
03.03.2022;03:00;04:00;52.046,25;48.421,75;2.953,75
03.03.2022;04:00;05:00;53.538,75;49.320,75;2.246,75
03.03.2022;05:00;06:00;56.498,5;52.013,75;1.280,25
03.03.2022;06:00;07:00;63.355,25;58.924,5;80,75
03.03.2022;07:00;08:00;68.096,75;61.570,25;10,25
03.03.2022;08:00;09:00;70.042,75;56.343,75;50,75
03.03.2022;09:00;10:00;70.262,75;49.433,25;229,5
03.03.2022;10:00;11:00;70.012;44.549,25;6,5
03.03.2022;11:00;12:00;69.715,25;40.171,75;836,75
03.03.2022;12:00;13:00;69.658;38.182;2.789,25
03.03.2022;13:00;14:00;68.210;37.509;3.078,5
03.03.2022;14:00;15:00;66.692,25;38.736,5;2.995,75
03.03.2022;15:00;16:00;65.983,25;43.637,25;2.277,25
03.03.2022;16:00;17:00;64.942,25;50.148,5;705
03.03.2022;17:00;18:00;66.688,75;57.981;198,25
03.03.2022;18:00;19:00;69.932,75;60.789,25;8
03.03.2022;19:00;20:00;70.055,25;58.701,25;4,5
03.03.2022;20:00;21:00;66.324;53.939,75;67,75
03.03.2022;21:00;22:00;62.407,5;50.101;211,25
03.03.2022;22:00;23:00;60.002,5;48.308,5;278,5
03.03.2022;23:00;00:00;56.190,25;45.162,75;1.216,75
04.03.2022;00:00;01:00;53.639,5;43.674,25;1.055,25
04.03.2022;01:00;02:00;52.374;43.597,75;3.112,5
04.03.2022;02:00;03:00;51.453,5;43.633,75;3.388
04.03.2022;03:00;04:00;52.053,5;45.244;3.628,75
04.03.2022;04:00;05:00;53.587;47.170,25;3.325
04.03.2022;05:00;06:00;56.535;50.276,75;1.445
04.03.2022;06:00;07:00;62.452,25;56.196,25;359,75
04.03.2022;07:00;08:00;67.724;60.032,5;24
04.03.2022;08:00;09:00;70.048,75;57.384,25;10
04.03.2022;09:00;10:00;70.490,75;51.992;60,75
04.03.2022;10:00;11:00;70.676,5;46.565;564
04.03.2022;11:00;12:00;71.110,75;43.104,75;1.538,75
04.03.2022;12:00;13:00;70.546,75;41.332,25;3.668,5
04.03.2022;13:00;14:00;68.517,75;40.610,75;3.852,25
04.03.2022;14:00;15:00;66.318,5;41.845,5;2.475
04.03.2022;15:00;16:00;65.251,5;45.374,25;945,75
04.03.2022;16:00;17:00;64.916,75;50.395,25;514,5
04.03.2022;17:00;18:00;66.240;56.186,25;120,25
04.03.2022;18:00;19:00;68.729;58.430;102,25
04.03.2022;19:00;20:00;68.646,75;56.476,75;8,75
04.03.2022;20:00;21:00;64.631,25;51.479;62,5
04.03.2022;21:00;22:00;61.385;48.367,5;117,25
04.03.2022;22:00;23:00;58.492,25;45.913;168,5
04.03.2022;23:00;00:00;55.712,25;43.015,75;551,25
05.03.2022;00:00;01:00;53.602,75;41.058,75;1.018,5
05.03.2022;01:00;02:00;51.716;39.784,25;853
05.03.2022;02:00;03:00;50.389;39.169,5;942,75
05.03.2022;03:00;04:00;50.048,25;39.976;1.462
05.03.2022;04:00;05:00;50.376,25;41.194,25;1.775,5
05.03.2022;05:00;06:00;50.180,75;41.325,5;878,5
05.03.2022;06:00;07:00;51.005,75;42.280,25;287,25
05.03.2022;07:00;08:00;53.497,75;43.305,5;152,75
05.03.2022;08:00;09:00;56.849;40.475,75;303,5
05.03.2022;09:00;10:00;59.315,75;36.282;1.074,75
05.03.2022;10:00;11:00;60.899,5;31.612;3.451,75
05.03.2022;11:00;12:00;61.143,75;30.352,5;4.362,5
05.03.2022;12:00;13:00;59.236;30.626,75;3.776
05.03.2022;13:00;14:00;56.790,25;31.646,25;4.435
05.03.2022;14:00;15:00;55.173;34.531,5;3.947,5
05.03.2022;15:00;16:00;54.401,5;38.581,25;1.630,5
05.03.2022;16:00;17:00;54.485,25;43.753,75;780,25
05.03.2022;17:00;18:00;56.709,25;49.700,25;231,25
05.03.2022;18:00;19:00;60.126,5;52.891,75;9,5
05.03.2022;19:00;20:00;60.266,5;51.839,75;2
05.03.2022;20:00;21:00;56.859;48.252,25;29,5
05.03.2022;21:00;22:00;54.389;46.363,75;41
05.03.2022;22:00;23:00;53.140,75;46.067,25;66,25
05.03.2022;23:00;00:00;50.536;44.039,75;278,75
06.03.2022;00:00;01:00;47.655,5;41.969,75;31,5
06.03.2022;01:00;02:00;45.871,75;40.693;345,75
06.03.2022;02:00;03:00;45.068,5;39.903;883,25
06.03.2022;03:00;04:00;44.690,25;39.499,25;1.472
06.03.2022;04:00;05:00;45.089,75;39.884,5;1.439,5
06.03.2022;05:00;06:00;45.195,75;39.758;949,5
06.03.2022;06:00;07:00;45.176,5;39.671,75;701
06.03.2022;07:00;08:00;46.956,75;40.568,5;381,25
06.03.2022;08:00;09:00;50.314,25;40.272,75;462
06.03.2022;09:00;10:00;53.695,75;38.715,75;4.490,25
06.03.2022;10:00;11:00;54.538,75;35.096,25;3.571,25
06.03.2022;11:00;12:00;56.384,25;35.266,75;4.114,5
06.03.2022;12:00;13:00;56.063,75;34.652,25;4.360
06.03.2022;13:00;14:00;54.658,75;34.291;5.863,5
06.03.2022;14:00;15:00;53.552,25;35.046;6.072,5
06.03.2022;15:00;16:00;53.312,5;37.725;4.853
06.03.2022;16:00;17:00;53.829;42.505,5;2.379,25
06.03.2022;17:00;18:00;55.265,5;47.453;611
06.03.2022;18:00;19:00;58.528,75;51.852,5;40
06.03.2022;19:00;20:00;58.630;52.137,75;7,75
06.03.2022;20:00;21:00;56.030;49.909;102
06.03.2022;21:00;22:00;53.966,75;48.052,25;89,5
06.03.2022;22:00;23:00;53.789;48.401;19,75
06.03.2022;23:00;00:00;51.249,5;46.141;19,5
07.03.2022;00:00;01:00;49.268,5;44.408,25;509,25
07.03.2022;01:00;02:00;47.908,75;43.556,5;875
07.03.2022;02:00;03:00;47.403,75;43.263,5;852,5
07.03.2022;03:00;04:00;47.993,75;43.613,5;1.023,25
07.03.2022;04:00;05:00;49.746,25;44.831,5;626,25
07.03.2022;05:00;06:00;53.582;48.203,25;126,5
07.03.2022;06:00;07:00;61.259;55.365,75;141,25
07.03.2022;07:00;08:00;66.430,75;59.051,25;6,25
07.03.2022;08:00;09:00;68.818,5;55.996;142,75
07.03.2022;09:00;10:00;68.610,25;47.872,5;1.304,75
07.03.2022;10:00;11:00;69.443,25;41.627,25;1.592
07.03.2022;11:00;12:00;70.750,25;38.924,5;2.602,75
07.03.2022;12:00;13:00;70.956,75;36.973,25;4.125,5
07.03.2022;13:00;14:00;70.316,25;37.395,25;5.171,5
07.03.2022;14:00;15:00;68.538,5;38.850;3.934
07.03.2022;15:00;16:00;67.012,25;42.761,5;1.414,5
07.03.2022;16:00;17:00;65.761,5;49.688,5;660
07.03.2022;17:00;18:00;66.501,5;58.826,5;254
07.03.2022;18:00;19:00;69.560;63.817,75;3
07.03.2022;19:00;20:00;69.815,25;62.189,5;5,25
07.03.2022;20:00;21:00;66.266;57.473;51,25
07.03.2022;21:00;22:00;62.798,5;53.561,5;280
07.03.2022;22:00;23:00;60.031,5;50.465,25;593
07.03.2022;23:00;00:00;56.862;47.892;1.235,5
08.03.2022;00:00;01:00;53.712,5;45.125,25;624,25
08.03.2022;01:00;02:00;52.270,75;43.837;1.806,5
08.03.2022;02:00;03:00;51.993,75;43.980,25;2.973,75
08.03.2022;03:00;04:00;52.001,25;44.326,25;2.553,75
08.03.2022;04:00;05:00;53.288,25;45.449,5;2.013,75
08.03.2022;05:00;06:00;56.409,5;48.350;754,25
08.03.2022;06:00;07:00;62.573,25;53.681,5;253,75
08.03.2022;07:00;08:00;66.848,5;54.528;3
08.03.2022;08:00;09:00;69.404,5;49.090,5;491,25
08.03.2022;09:00;10:00;69.504,25;41.797,25;827
08.03.2022;10:00;11:00;69.385,25;35.164,5;2.775,25
08.03.2022;11:00;12:00;69.896,5;30.739,5;5.131
08.03.2022;12:00;13:00;69.661,75;28.851;5.503
08.03.2022;13:00;14:00;69.335,75;29.974,5;5.159
08.03.2022;14:00;15:00;67.361,5;31.521,75;4.367,25
08.03.2022;15:00;16:00;65.903,75;35.923,25;2.689,75
08.03.2022;16:00;17:00;64.761,5;43.424,25;1.173
08.03.2022;17:00;18:00;66.154,5;52.987,25;266,75
08.03.2022;18:00;19:00;69.411,25;57.669,75;17
08.03.2022;19:00;20:00;70.069;55.168,5;85,5
08.03.2022;20:00;21:00;66.384,75;50.189,5;149,25
08.03.2022;21:00;22:00;62.840,5;46.351,25;265,5
08.03.2022;22:00;23:00;59.295,25;43.328,25;75,5
08.03.2022;23:00;00:00;55.621,5;41.146;556,75
09.03.2022;00:00;01:00;52.667,25;39.081;909,75
09.03.2022;01:00;02:00;51.430;39.591;2.391,25
09.03.2022;02:00;03:00;51.023,75;41.586,25;3.086,25
09.03.2022;03:00;04:00;51.505,5;43.512,25;3.207,25
09.03.2022;04:00;05:00;52.576;45.161,25;1.696,5
09.03.2022;05:00;06:00;56.154,5;48.894,25;230,25
09.03.2022;06:00;07:00;63.153,75;55.756,25;39,5
09.03.2022;07:00;08:00;66.834,5;55.977,5;4,25
09.03.2022;08:00;09:00;69.096,25;50.098,5;203
09.03.2022;09:00;10:00;69.390,5;43.781,25;445,5
09.03.2022;10:00;11:00;68.881,75;38.588,5;1.429,5
09.03.2022;11:00;12:00;68.766;35.010,5;3.614
09.03.2022;12:00;13:00;68.470,5;33.395,75;5.457
09.03.2022;13:00;14:00;67.248,25;33.149;5.572,75
09.03.2022;14:00;15:00;65.727,5;35.040;5.209
09.03.2022;15:00;16:00;64.272,25;40.104,25;2.278,25
09.03.2022;16:00;17:00;63.150;47.680;595,75
09.03.2022;17:00;18:00;64.271;56.284,5;166,75
09.03.2022;18:00;19:00;67.816,5;59.569,5;4
09.03.2022;19:00;20:00;68.921,75;57.939,75;0
09.03.2022;20:00;21:00;65.843;52.701,25;56,25
09.03.2022;21:00;22:00;62.024;47.689,25;598,25
09.03.2022;22:00;23:00;59.091,5;44.420,75;561,75
09.03.2022;23:00;00:00;55.632,5;41.450;629,25
10.03.2022;00:00;01:00;52.616;39.435,5;518,25
10.03.2022;01:00;02:00;50.840;37.957,25;773,75
10.03.2022;02:00;03:00;50.402;37.509,25;1.529,5
10.03.2022;03:00;04:00;51.139;38.283,75;2.458
10.03.2022;04:00;05:00;52.988,5;40.056,75;2.357,25
10.03.2022;05:00;06:00;56.294,5;43.181,25;702,25
10.03.2022;06:00;07:00;63.176,5;49.257,75;215,75
10.03.2022;07:00;08:00;67.498,75;49.820,25;11,25
10.03.2022;08:00;09:00;69.449;44.387,25;116,75
10.03.2022;09:00;10:00;68.775;38.428;217,75
10.03.2022;10:00;11:00;69.083,75;33.510,25;1.735,5
10.03.2022;11:00;12:00;69.407,25;28.575,5;3.461,25
10.03.2022;12:00;13:00;68.647,25;25.896,25;4.120
10.03.2022;13:00;14:00;67.359;23.661,75;4.688,75
10.03.2022;14:00;15:00;65.843,5;24.201;3.967
10.03.2022;15:00;16:00;64.670,5;26.852,75;2.078,5
10.03.2022;16:00;17:00;64.113,75;32.505,25;385,75
10.03.2022;17:00;18:00;65.628,5;40.372;80,5
10.03.2022;18:00;19:00;69.116,25;41.038;0
10.03.2022;19:00;20:00;70.175,75;37.780,25;101
10.03.2022;20:00;21:00;66.894;33.697,25;255,5
10.03.2022;21:00;22:00;62.867,5;28.958,5;785
10.03.2022;22:00;23:00;59.906;27.752;1.969
10.03.2022;23:00;00:00;56.317,5;24.571,5;2.769,25
11.03.2022;00:00;01:00;54.911,75;22.865,75;3.173
11.03.2022;01:00;02:00;53.534,25;22.009,5;4.033,5
11.03.2022;02:00;03:00;52.784,25;21.876,25;5.630,5
11.03.2022;03:00;04:00;53.093;22.185;4.732,25
11.03.2022;04:00;05:00;54.200;23.278,5;2.982,75
11.03.2022;05:00;06:00;57.384;25.751,5;705,25
11.03.2022;06:00;07:00;64.097,75;30.901,5;405,25
11.03.2022;07:00;08:00;68.502,25;33.095,25;61
11.03.2022;08:00;09:00;71.126,25;29.541,5;377,25
11.03.2022;09:00;10:00;70.362;22.181,5;1.514
11.03.2022;10:00;11:00;69.909;15.634,25;3.968,75
11.03.2022;11:00;12:00;70.043,75;11.038,75;5.717,5
11.03.2022;12:00;13:00;69.345,75;10.114,5;6.167,75
11.03.2022;13:00;14:00;68.287;11.513,75;6.366,25
11.03.2022;14:00;15:00;65.990,75;13.454,25;5.970,25
11.03.2022;15:00;16:00;65.449;16.184,5;4.758,25
11.03.2022;16:00;17:00;64.791;20.401,75;2.104,75
11.03.2022;17:00;18:00;66.434,25;29.649;238,25
11.03.2022;18:00;19:00;68.977,75;32.795;15,25
11.03.2022;19:00;20:00;69.507,75;31.830;103,25
11.03.2022;20:00;21:00;65.395,5;28.217,25;283,25
11.03.2022;21:00;22:00;61.303;25.053,5;968,75
11.03.2022;22:00;23:00;58.015,25;24.176,75;785,5
11.03.2022;23:00;00:00;55.440,5;23.091;1.784
12.03.2022;00:00;01:00;52.308,5;20.908,5;1.881,25
12.03.2022;01:00;02:00;50.223,25;19.386,5;2.072
12.03.2022;02:00;03:00;49.561,25;19.576;2.773,25
12.03.2022;03:00;04:00;48.876,25;19.682,75;2.174,5
12.03.2022;04:00;05:00;49.034,25;20.813,25;2.210,75
12.03.2022;05:00;06:00;49.396;21.923,25;713,75
12.03.2022;06:00;07:00;50.439,25;22.321;264,25
12.03.2022;07:00;08:00;53.332,75;24.341,75;166,75
12.03.2022;08:00;09:00;56.484,75;23.081,25;748,25
12.03.2022;09:00;10:00;58.539,25;19.880,25;2.088,25
12.03.2022;10:00;11:00;59.893;17.430,5;4.593,25
12.03.2022;11:00;12:00;59.931,25;15.695,25;5.387,75
12.03.2022;12:00;13:00;58.387;14.705,5;5.061,25
12.03.2022;13:00;14:00;55.940;15.984,25;4.911,75
12.03.2022;14:00;15:00;54.748,25;19.825,5;3.546,75
12.03.2022;15:00;16:00;53.185,5;24.154,25;1.314,5
12.03.2022;16:00;17:00;52.992,25;31.249,75;281,75
12.03.2022;17:00;18:00;55.670,5;39.423,5;8,25
12.03.2022;18:00;19:00;59.299,75;41.037;7,25
12.03.2022;19:00;20:00;59.932,75;37.212,5;100,25
12.03.2022;20:00;21:00;56.556;30.782,75;659
12.03.2022;21:00;22:00;54.031,25;27.519,5;448,25
12.03.2022;22:00;23:00;52.177,75;27.321;153
12.03.2022;23:00;00:00;49.320,5;25.553,5;355,25
13.03.2022;00:00;01:00;46.738,75;24.665,5;506,5
13.03.2022;01:00;02:00;45.003;24.041,5;748
13.03.2022;02:00;03:00;44.815;24.222;959,75
13.03.2022;03:00;04:00;44.449,5;24.016,75;647,75
13.03.2022;04:00;05:00;45.196;24.572;382,5
13.03.2022;05:00;06:00;45.646;24.906;1.458
13.03.2022;06:00;07:00;45.145,5;24.210;1.414,5
13.03.2022;07:00;08:00;46.774,25;23.076,5;1.255,25
13.03.2022;08:00;09:00;50.196,25;21.681;2.475,75
13.03.2022;09:00;10:00;52.557,25;19.099;3.879,5
13.03.2022;10:00;11:00;53.784,5;15.790,75;5.944,5
13.03.2022;11:00;12:00;55.227,25;13.698,25;6.085,5
13.03.2022;12:00;13:00;53.738,5;11.419,75;6.156
13.03.2022;13:00;14:00;51.387,5;10.618,5;5.955
13.03.2022;14:00;15:00;49.533;10.521;4.760,25
13.03.2022;15:00;16:00;48.973,5;14.461,25;3.526,25
13.03.2022;16:00;17:00;50.112,75;20.772,75;2.161
13.03.2022;17:00;18:00;53.509,75;30.094;376,25
13.03.2022;18:00;19:00;56.813,75;33.568,5;18,25
13.03.2022;19:00;20:00;57.465,25;32.313,5;256
13.03.2022;20:00;21:00;54.999,5;29.069,5;871
13.03.2022;21:00;22:00;53.073,5;27.388;1.395,75
13.03.2022;22:00;23:00;52.834,25;29.049,5;1.129,75
13.03.2022;23:00;00:00;50.696,75;28.931,25;1.681,75
14.03.2022;00:00;01:00;48.430;28.143,5;2.866,25
14.03.2022;01:00;02:00;46.651;27.087,75;3.048
14.03.2022;02:00;03:00;45.579,75;27.259,25;2.007,75
14.03.2022;03:00;04:00;46.858;29.779,75;1.354
14.03.2022;04:00;05:00;48.838;32.411,75;1.328
14.03.2022;05:00;06:00;52.964;36.697;801,5
14.03.2022;06:00;07:00;60.776,5;44.001,25;601,25
14.03.2022;07:00;08:00;66.880,5;48.579,25;132,5
14.03.2022;08:00;09:00;69.801,25;49.160,5;97,75
14.03.2022;09:00;10:00;69.580,5;46.033;197,5
14.03.2022;10:00;11:00;70.248;43.676,5;287,5
14.03.2022;11:00;12:00;70.543,75;42.264,5;237,75
14.03.2022;12:00;13:00;70.105,25;42.451,25;619,5
14.03.2022;13:00;14:00;68.314;41.799,75;725,25
14.03.2022;14:00;15:00;67.140;42.831,25;1.387,75
14.03.2022;15:00;16:00;65.761,75;45.674,75;1.198,25
14.03.2022;16:00;17:00;64.514;49.833;1.430,75
14.03.2022;17:00;18:00;65.109;56.098,75;382,25
14.03.2022;18:00;19:00;67.325,75;60.607,25;9,5
14.03.2022;19:00;20:00;67.647,5;60.572;4,5
14.03.2022;20:00;21:00;63.923,5;55.738,25;58,25
14.03.2022;21:00;22:00;60.678,5;51.670,25;626
14.03.2022;22:00;23:00;57.726,25;48.791,25;826,5
14.03.2022;23:00;00:00;54.571;46.491,75;1.346,25
15.03.2022;00:00;01:00;50.828,5;43.422;1.117,25
15.03.2022;01:00;02:00;49.265,5;42.911,25;1.833,5
15.03.2022;02:00;03:00;48.683,5;43.082,25;3.083,5
15.03.2022;03:00;04:00;49.715,75;44.525;4.686,25
15.03.2022;04:00;05:00;51.141;46.690,75;4.024,75
15.03.2022;05:00;06:00;54.308,5;50.235,25;1.646,25
15.03.2022;06:00;07:00;60.724;56.697,75;301,5
15.03.2022;07:00;08:00;65.413,5;60.334,5;36,75
15.03.2022;08:00;09:00;68.398,25;60.332,75;10,25
15.03.2022;09:00;10:00;68.825,25;58.104,5;9,5
15.03.2022;10:00;11:00;69.912,25;57.100;15,75
15.03.2022;11:00;12:00;71.017,5;57.689,25;16,75
15.03.2022;12:00;13:00;70.432,25;58.002,25;9,25
15.03.2022;13:00;14:00;69.081,25;58.964,75;8,5
15.03.2022;14:00;15:00;67.425,75;59.754,75;23
15.03.2022;15:00;16:00;66.847,5;61.213,75;56
15.03.2022;16:00;17:00;66.049,5;62.105,25;160
15.03.2022;17:00;18:00;66.502,25;63.700,5;19,25
15.03.2022;18:00;19:00;68.070,5;65.023;5,75
15.03.2022;19:00;20:00;67.764,25;63.723,75;5,5
15.03.2022;20:00;21:00;64.228;59.445,5;33,5
15.03.2022;21:00;22:00;60.502,25;55.284,5;266,75
15.03.2022;22:00;23:00;57.479,75;52.437;338,75
15.03.2022;23:00;00:00;53.779,5;49.060,75;476,25
16.03.2022;00:00;01:00;50.661,75;46.314,25;437
16.03.2022;01:00;02:00;48.909,5;44.713,5;672
16.03.2022;02:00;03:00;48.332;43.852,5;1.870,75
16.03.2022;03:00;04:00;48.932,25;44.046;2.213
16.03.2022;04:00;05:00;51.038,25;45.592,75;2.542,75
16.03.2022;05:00;06:00;54.367;47.786,5;1.302
16.03.2022;06:00;07:00;60.913,5;53.010,5;282,5
16.03.2022;07:00;08:00;65.909,75;54.913,75;29,75
16.03.2022;08:00;09:00;68.290,25;52.224,5;11,75
16.03.2022;09:00;10:00;68.501,25;47.680,5;119,25
